company,metric,year,value
Marico,raw_tr,FY20,539.0
Marico,raw_tr,FY21,388.0
Marico,raw_tr,FY22,652.0
Marico,raw_tr,FY23,1015.0
Marico,raw_tr,FY24,1069.0
Marico,raw_tr,FY25,1271.0
Marico,raw_tp,FY19,944.0
Marico,raw_tp,FY20,978.0
Marico,raw_tp,FY21,1134.0
Marico,raw_tp,FY22,1344.0
Marico,raw_tp,FY23,1452.0
Marico,raw_tp,FY24,1581.0
Marico,raw_tp,FY25,1363.0
Marico,raw_ta,FY19,4742.0
Marico,raw_ta,FY20,5002.0
Marico,raw_ta,FY21,5510.0
Marico,raw_ta,FY22,5786.0
Marico,raw_ta,FY23,6946.0
Marico,raw_ta,FY24,7421.0
Marico,raw_ta,FY25,8338.0
Marico,raw_tcl,FY19,1686.0
Marico,raw_tcl,FY20,1785.0
Marico,raw_tcl,FY21,2013.0
Marico,raw_tcl,FY22,2153.0
Marico,raw_tcl,FY23,2429.0
Marico,raw_tcl,FY24,2444.0
Marico,raw_tcl,FY25,2461.0
Dabur,COGS,FY19,4290.97
Dabur,COGS,FY20,4341.29
Dabur,COGS,FY21,4773.91
Dabur,COGS,FY22,5639.69
Dabur,COGS,FY23,6268.67
Dabur,COGS,FY24,6446.959999999999
Dabur,COGS,FY25,6534.86
Dabur,GP,FY19,4242.079999999999
Dabur,GP,FY20,4362.3
Dabur,GP,FY21,4787.74
Dabur,GP,FY22,5248.990000000001
Dabur,GP,FY23,5261.219999999999
Dabur,GP,FY24,5957.050000000001
Dabur,GP,FY25,6028.2300000000005
Dabur,EBITDA,FY19,1740.52
Dabur,EBITDA,FY20,1792.3400000000001
Dabur,EBITDA,FY21,2001.67
Dabur,EBITDA,FY22,2252.0099999999998
Dabur,EBITDA,FY23,2162.49
Dabur,EBITDA,FY24,2399.72
Dabur,EBITDA,FY25,2316.89
Dabur,EBIT,FY19,1563.62
Dabur,EBIT,FY20,1571.89
Dabur,EBIT,FY21,1761.54
Dabur,EBIT,FY22,1999.12
Dabur,EBIT,FY23,1851.5299999999997
Dabur,EBIT,FY24,2000.5099999999998
Dabur,EBIT,FY25,1871.29
Dabur,CE,FY19,5776.33
Dabur,CE,FY20,6890.13
