company,metric,pre_FY20_22,FY23_transition,post_FY24_25,abs_change,pct_change,sens_post_FY23_25,sens_abs_change
Dabur India Limited,DIO,116.5592530228405,114.5763814333822,115.5121878239546,-1.047065198885889,-0.008983115211631549,115.20025236043045,-1.3590006624100397
Dabur India Limited,DSO,27.0132154322033,23.66191264617442,25.836436379539435,-1.1767790526638642,-0.04356308694969312,25.11159513508443,-1.9016202971188712
Dabur India Limited,DPO,126.88242819975862,122.40749632697208,138.49353696887653,11.611108769117905,0.09151077051298104,133.13152342157505,6.249095221816432
Dabur India Limited,CCC,16.690040255285187,15.830797752584544,2.8550872346175,-13.834953020667687,-0.8289346705611816,7.180324073939848,-9.50971618134534
Dabur India Limited,GrossMargin,0.4946631748213195,0.4563113785127178,0.4800442598250173,-0.01461891499630219,-0.029553271277132736,0.47213329938758414,-0.022529875433735358
Dabur India Limited,EBITDAMargin,0.20736530130254047,0.18755512845309016,0.18894181816281358,-0.018423483139726887,-0.0888455446692478,0.18847958825957245,-0.018885713042968016
Dabur India Limited,NetMargin,0.16761302177858084,0.14806299106062593,0.14462772131800605,-0.022985300460574787,-0.13713314285890443,0.14577281123221267,-0.02184021054636817
Dabur India Limited,ROCE,0.24104250291398802,0.19482683421257402,0.17518530611337646,-0.06585719680061156,-0.27321819183113777,0.18173248214644233,-0.059310020767545685
Dabur India Limited,ROA,0.16015336869314956,0.13162855788024935,0.12040778350677538,-0.03974558518637418,-0.24817202104893513,0.12414804163126669,-0.036005327061882864
Dabur India Limited,RevGrowth,0.08578648015580444,0.05888776233666526,0.044319135379863206,-0.04146734477594123,-0.48337855453013934,0.04917534436546389,-0.036611135790340546
Hindustan Unilever Limited,DIO,53.36739588335805,48.03025286921427,50.54409747918157,-2.8232984041764766,-0.05290305733386715,49.70614927585914,-3.66124660749891
Hindustan Unilever Limited,DSO,12.926966578112859,16.011678771871903,18.81098158727199,5.88401500915913,0.45517368468497327,17.87788064880529,4.950914070692432
Hindustan Unilever Limited,DPO,136.2266171372316,107.26967461218314,126.56582213818425,-9.660794999047368,-0.07091708802630915,120.13377296285053,-16.092844174381085
Hindustan Unilever Limited,CCC,-69.9322546757607,-43.22774297109696,-57.21074307173068,12.72151160403002,0.18191193266988198,-52.54974303818611,17.382511637574595
Hindustan Unilever Limited,GrossMargin,0.5264621499104848,0.4764608781776164,0.5173794143008099,-0.009082735609674875,-0.01725240002765484,0.5037399022597454,-0.02272224765073938
Hindustan Unilever Limited,EBITDAMargin,0.24674383607657444,0.23354242324199406,0.2359921430336011,-0.010751693042973326,-0.043574312590473986,0.2351755697697321,-0.011568266306842323
Hindustan Unilever Limited,NetMargin,0.169641079141124,0.16705183228788378,0.16737214878898382,-0.0022689303521401805,-0.013374887519152497,0.16726537662195048,-0.002375702519173517
Hindustan Unilever Limited,ROCE,0.4537857223968837,0.2163164194985702,0.21070180649444709,-0.2430839159024366,-0.5356799562103322,0.2125733441624881,-0.2412123782343956
Hindustan Unilever Limited,ROA,0.21844844561102103,0.1409431492158993,0.13503394776669636,-0.08341449784432467,-0.38184981179887273,0.1370036815830973,-0.08144476402792372
Hindustan Unilever Limited,RevGrowth,0.10311782857568323,0.15509285741524614,0.020757301899995362,-0.08236052667568787,-0.7987030740784019,0.06553582040507895,-0.03758200817060428
Marico Limited,DIO,109.4411747901894,89.9369276770697,92.76078029806948,-16.680394492119916,-0.15241424924483898,91.81949609106955,-17.62167869911984
Marico Limited,DSO,22.440222811909873,31.158080704629253,39.41433938058726,16.974116568677385,0.7564147963659514,36.662253155267926,14.222030343358053
Marico Limited,DPO,89.04060002253777,95.35974584189871,108.1490153084423,19.108415285904528,0.21460339756322222,103.8859254862611,14.845325463723327
Marico Limited,CCC,42.84079757956149,25.735262539800246,24.026104370214433,-18.814693209347055,-0.43917700585301844,24.59582376007637,-18.244973819485118
Marico Limited,GrossMargin,0.4619943437311352,0.4519664072101598,0.505335597643358,0.04334125391222282,0.09381338646311639,0.48754586749895856,0.02555152376782338
Marico Limited,EBITDAMargin,0.1916615760610323,0.1853748463744367,0.20368581390920848,0.012024237848176189,0.06273682026045334,0.19758215806428456,0.005920582003252267
Marico Limited,NetMargin,0.13799571627483312,0.13334698893895944,0.15191271551801439,0.013916999243181266,0.10085095116622378,0.14572413999166275,0.0077284237168296355
Marico Limited,ROCE,0.4293975169922028,0.40613496932515336,0.37742656626906124,-0.05197095072314156,-0.12103225721280841,0.3869960339544252,-0.042401483037777576
Marico Limited,ROA,0.21647968416698485,0.20452403393025448,0.20645295828131421,-0.010026725885670634,-0.046317167933118235,0.2058099834976276,-0.01066970066935724
Marico Limited,RevGrowth,0.09317431107747291,0.02649285113540789,0.055333154479275615,-0.0378411565981973,-0.40613293686425,0.04571972003131971,-0.047454591046153204
