company,pre_FY20_22_arith,pre_FY20_22_cagr,post_FY24_25_arith,post_FY24_25_cagr,sens_FY23_25_cagr
Dabur India Limited,0.08578648015580444,0.08465173378364366,0.044319135379863206,0.043844130464156805,0.048834775991813295
Hindustan Unilever Limited,0.10311782857568323,0.1008710276693292,0.020757301899995362,0.020756844772811034,0.06370328385910873
Marico Limited,0.09317431107747291,0.09054513664211128,0.055333154479275615,0.053223140660582535,0.04423658505185224
