fiscal_year,DIO,DSO,DPO,GrossMargin,EBITDAMargin,NetMargin,ROCE,ROA,RevGrowth,CCC,company
FY20,112.66656915340832,34.54432308966759,123.49056386465774,0.5012069732145011,0.20593111578095935,0.1660188496930577,0.24819720742812124,0.1624403830101767,0.019985819841674468,23.72032837841816,Dabur India Limited
FY21,119.03819405895797,26.253133611876613,129.8783020626698,0.5007232015394832,0.20934357563809594,0.17709286577107508,0.23799657773691538,0.16764400424926515,0.09858690494382194,15.413025608164787,Dabur India Limited
FY22,117.97299585615521,20.2421895950657,127.2784186719483,0.4820593497099741,0.20682121248856608,0.15972734987160978,0.2369337235769274,0.15037571882000686,0.13878671568191692,10.936766779272617,Dabur India Limited
FY23,114.5763814333822,23.66191264617442,122.40749632697208,0.4563113785127178,0.18755512845309016,0.14806299106062593,0.19482683421257402,0.13162855788024935,0.05888776233666526,15.830797752584544,Dabur India Limited
FY24,112.41554546639038,25.710498056676833,130.45193393475375,0.4802519507804332,0.19346324293514758,0.14855518497647133,0.18839686418024226,0.12806594143597066,0.07581338590394182,7.674109588313456,Dabur India Limited
FY25,118.60883018151881,25.962374702402034,146.5351400029993,0.47983656886960135,0.18442039339047955,0.14070025765954078,0.16197374804651068,0.11274962557758009,0.01282488485578459,-1.9639351190784566,Dabur India Limited
FY20,53.38367380469906,13.601601186436417,147.33734048962154,0.5410351155015961,0.24786969308498605,0.16962018952819044,0.8519088373882104,0.34799649321850346,0.012032561689137689,-80.35206549848607,Hindustan Unilever Limited
FY21,52.29117753296009,11.281098494513905,134.6172340617663,0.5290465254741856,0.24721442544866887,0.17000510334268945,0.30813257409840855,0.17984478686312,0.18211296282331646,-71.0449580342923,Hindustan Unilever Limited
FY22,54.427336312415,13.898200053388248,126.72527686030698,0.5093048087556725,0.24514738969606834,0.16929794455249209,0.20131575570403196,0.1275040567514396,0.11520796121459553,-58.39974049450373,Hindustan Unilever Limited
FY23,48.03025286921427,16.011678771871903,107.26967461218314,0.4764608781776164,0.23354242324199406,0.16705183228788378,0.2163164194985702,0.1409431492158993,0.15509285741524614,-43.22774297109696,Hindustan Unilever Limited
FY24,50.73328293010753,17.915051053379862,123.01579301075269,0.5191934858472276,0.23683275171255008,0.16603657748481324,0.21223220347010624,0.13559299671473618,0.02172334103664575,-54.3674590272653,Hindustan Unilever Limited
FY25,50.35491202825561,19.706912121164113,130.1158512656158,0.5155653427543924,0.23515153435465216,0.1687077200931544,0.2091714095187879,0.1344748988186565,0.019791262763344974,-60.05402711619607,Hindustan Unilever Limited
FY20,136.01001335113486,26.345864661654137,93.66221628838453,0.4880382775119617,0.20082023239917976,0.1395762132604238,0.42372070779531323,0.2095648604269294,-0.002590673575129543,68.69366172440446,Marico Limited
FY21,107.10655737704919,21.021061133200796,90.26697892271663,0.46943339960238567,0.1974403578528827,0.1456262425447316,0.43193327375633006,0.22298325722983256,0.10020505809979485,37.860639587533356,Marico Limited
FY22,85.20695364238411,19.953742640874683,83.19260485651215,0.42851135407905805,0.17672413793103448,0.12878469301934398,0.43253856942496494,0.21689093484419264,0.18190854870775341,21.96809142674664,Marico Limited
FY23,89.9369276770697,31.158080704629253,95.35974584189871,0.4519664072101598,0.1853748463744367,0.13334698893895944,0.40613496932515336,0.20452403393025448,0.02649285113540789,25.735262539800246,Marico Limited
FY24,98.43776326874475,39.400186470527295,116.58013900589721,0.5081321868849062,0.2098829379467523,0.15342380607065162,0.3935116915946914,0.20616691028050393,-0.011368291683736209,21.257810733374825,Marico Limited
FY25,87.08379732739421,39.42849229064722,99.71789161098738,0.5025390084018097,0.19748868987166468,0.15040162496537715,0.361341440943431,0.2067390062821245,0.12203460064228744,26.794398007054042,Marico Limited
